   16384 ,      1 ,      31.02
   16384 ,      4 ,      70.79
   16384 ,     16 ,      30.27
   16384 ,     64 ,      50.77
   16384 ,    256 ,      30.46
   65536 ,      1 ,      83.41
   65536 ,      4 ,     174.52
   65536 ,     16 ,     239.73
   65536 ,     64 ,     239.59
   65536 ,    256 ,     267.94
  262144 ,      1 ,     223.46
  262144 ,      4 ,     670.28
  262144 ,     16 ,    1390.34
  262144 ,     64 ,    1799.14
  262144 ,    256 ,    2037.77
 1048576 ,      1 ,     451.07
 1048576 ,      4 ,    1160.90
 1048576 ,     16 ,    5378.61
 1048576 ,     64 ,    3334.25
 1048576 ,    256 ,    3613.82
 4194304 ,      1 ,     984.83
 4194304 ,      4 ,    3363.93
 4194304 ,     16 ,    9878.45
 4194304 ,     64 ,   28131.16
 4194304 ,    256 ,   25951.86
16777216 ,      1 ,    2030.78
16777216 ,      4 ,    8011.40
16777216 ,     16 ,   30280.27
16777216 ,     64 ,  101035.62
16777216 ,    256 ,  252372.35
